angle_deg,kVp,distance_cm,noise_level,blur_sigma,MSE,SSIM,GradientError,GradientEntropy_ref,GradientEntropy_test,image_path
0,50,80,0.0,0.0,0.0013785050838241784,0.8027473932073483,0.017154531889169662,1.2265954737895086,0.8095594998122381,results\images\proj_angle0_kvp50_dist80_noise0.0_blur0.0.npy
0,50,80,0.0,1.0,0.00155555855113,0.8003309366046264,0.025571346729132687,1.2265954737895086,0.8602930876416771,results\images\proj_angle0_kvp50_dist80_noise0.0_blur1.0.npy
0,50,80,0.0,2.0,0.001655925216584381,0.8002286115369743,0.03165557272319086,1.2265954737895086,0.9140275263269575,results\images\proj_angle0_kvp50_dist80_noise0.0_blur2.0.npy
0,50,80,0.3,0.0,0.0013786441753268824,0.8027361136084598,0.01709477791890817,1.2265954737895086,0.8331364621749937,results\images\proj_angle0_kvp50_dist80_noise0.3_blur0.0.npy
0,50,80,0.3,1.0,0.0015558907576854442,0.8002878210708975,0.02556457142106732,1.2265954737895086,0.8655647056051761,results\images\proj_angle0_kvp50_dist80_noise0.3_blur1.0.npy
0,50,80,0.3,2.0,0.0016562772123366188,0.8002293907344237,0.03166119675468937,1.2265954737895086,0.9297955023512898,results\images\proj_angle0_kvp50_dist80_noise0.3_blur2.0.npy
0,50,80,0.6,0.0,0.0013786212423196808,0.8027425782451809,0.017051381351967272,1.2265954737895086,0.8451876813924878,results\images\proj_angle0_kvp50_dist80_noise0.6_blur0.0.npy
0,50,80,0.6,1.0,0.0015550130068036506,0.8003501090419362,0.0255497681066975,1.2265954737895086,0.8682655798146898,results\images\proj_angle0_kvp50_dist80_noise0.6_blur1.0.npy
0,50,80,0.6,2.0,0.001656343050978019,0.8001877899542189,0.0316600254029179,1.2265954737895086,0.9320228830746737,results\images\proj_angle0_kvp50_dist80_noise0.6_blur2.0.npy
0,50,100,0.0,0.0,0.0013094970873426808,0.8606974693209185,0.015166930464602046,1.2265954737895086,0.836332331134527,results\images\proj_angle0_kvp50_dist100_noise0.0_blur0.0.npy
0,50,100,0.0,1.0,0.0012541824436036347,0.8553132760499592,0.01842925894061409,1.2265954737895086,1.114517719725611,results\images\proj_angle0_kvp50_dist100_noise0.0_blur1.0.npy
0,50,100,0.0,2.0,0.0014069887153348268,0.848765087673588,0.032058214763765136,1.2265954737895086,1.4357864898109498,results\images\proj_angle0_kvp50_dist100_noise0.0_blur2.0.npy
0,50,100,0.3,0.0,0.0013118100687393103,0.8588203812659598,0.018444851040030026,1.2265954737895086,0.8424864571120433,results\images\proj_angle0_kvp50_dist100_noise0.3_blur0.0.npy
0,50,100,0.3,1.0,0.0012539212657930968,0.8552180685758524,0.019334764704212554,1.2265954737895086,1.1341334464307062,results\images\proj_angle0_kvp50_dist100_noise0.3_blur1.0.npy
0,50,100,0.3,2.0,0.0014075969798346603,0.8487696891191844,0.032332891338158934,1.2265954737895086,1.4589824537610998,results\images\proj_angle0_kvp50_dist100_noise0.3_blur2.0.npy
0,50,100,0.6,0.0,0.0013154743495591107,0.8574242607924233,0.019476236620440186,1.2265954737895086,0.8570655640765904,results\images\proj_angle0_kvp50_dist100_noise0.6_blur0.0.npy
0,50,100,0.6,1.0,0.0012549014957314942,0.8551331511622415,0.019615670068133556,1.2265954737895086,1.1333744602810754,results\images\proj_angle0_kvp50_dist100_noise0.6_blur1.0.npy
0,50,100,0.6,2.0,0.001406409830109501,0.8488050536309817,0.03240786973485636,1.2265954737895086,1.4645533941932047,results\images\proj_angle0_kvp50_dist100_noise0.6_blur2.0.npy
0,50,120,0.0,0.0,0.03676687737585713,0.8763050543852439,0.014077744267167569,1.2265954737895086,1.0469553687201385,results\images\proj_angle0_kvp50_dist120_noise0.0_blur0.0.npy
0,50,120,0.0,1.0,0.037212592583019136,0.8700985458515134,0.024287990200408574,1.2265954737895086,1.4558310485797021,results\images\proj_angle0_kvp50_dist120_noise0.0_blur1.0.npy
0,50,120,0.0,2.0,0.03813509977410871,0.8636746084279796,0.03505006991929928,1.2265954737895086,1.8992755707415139,results\images\proj_angle0_kvp50_dist120_noise0.0_blur2.0.npy
0,50,120,0.3,0.0,0.03677278339434001,0.8747293066063235,0.019088267275659994,1.2265954737895086,1.1844300733818809,results\images\proj_angle0_kvp50_dist120_noise0.3_blur0.0.npy
0,50,120,0.3,1.0,0.037215924547469054,0.8699299122371253,0.025827729789385915,1.2265954737895086,1.4770788678933848,results\images\proj_angle0_kvp50_dist120_noise0.3_blur1.0.npy
0,50,120,0.3,2.0,0.03813575953065676,0.8636196142610182,0.03547972286097298,1.2265954737895086,1.925539620727199,results\images\proj_angle0_kvp50_dist120_noise0.3_blur2.0.npy
0,50,120,0.6,0.0,0.03677014357628715,0.873684240031815,0.020622851374109057,1.2265954737895086,1.3295559196579483,results\images\proj_angle0_kvp50_dist120_noise0.6_blur0.0.npy
0,50,120,0.6,1.0,0.037217405413947996,0.869712255126463,0.02633799054335355,1.2265954737895086,1.4923245114886217,results\images\proj_angle0_kvp50_dist120_noise0.6_blur1.0.npy
0,50,120,0.6,2.0,0.03814206144908086,0.863640877128807,0.03563123530638472,1.2265954737895086,1.9260386422335287,results\images\proj_angle0_kvp50_dist120_noise0.6_blur2.0.npy
0,60,80,0.0,0.0,0.0006900146360130767,0.9002156311974477,0.019865617836736404,1.2265954737895086,1.0516716102506267,results\images\proj_angle0_kvp60_dist80_noise0.0_blur0.0.npy
